#Participant #,framerate,delay (units of frames),quantizer,ssim (dB),qoe-score
2,20,1,26,15.3384,5
2,20,5,26,15.0748,2
2,20,10,40,9.44676,1
2,20,1,40,9.84892,4
2,20,10,33,12.181,3
2,20,5,33,11.8104,4
2,20,20,33,12.5622,1
2,20,20,40,9.08329,2
2,20,5,40,9.10671,3
2,20,10,26,15.1669,3
2,20,1,33,12.1947,5
2,20,20,26,14.9235,2
3,20,1,26,14.9986,5
3,20,10,26,14.7597,2
3,20,5,26,14.8422,3
3,20,5,33,12.0175,1
3,20,20,33,12.0502,1
3,20,10,40,8.54618,1
3,20,1,40,9.27487,4
3,20,20,40,8.95707,2
3,20,20,26,14.5436,1
3,20,10,33,12.1155,3
3,20,1,33,11.3652,1
3,20,5,40,8.84921,3
4,20,1,26,15.2079,5
4,20,10,26,15.2953,3
4,20,20,26,14.7285,2
4,20,10,33,10.8075,1
4,20,10,40,8.39112,1
4,20,20,40,8.62236,1
4,20,1,33,11.0905,4
4,20,5,26,14.7982,3
4,20,1,40,9.49951,4
4,20,5,40,9.80999,4
4,20,20,33,11.8643,2
4,20,5,33,11.9612,3
5,20,1,26,15.6346,5
5,20,5,33,11.9393,4
5,20,10,26,15.4517,2
5,20,20,33,11.4484,2
5,20,20,26,15.4865,3
5,20,5,40,9.17401,3
5,20,5,26,15.3056,3
5,20,1,33,12.0258,4
5,20,1,40,9.25531,3
5,20,10,40,9.35305,2
5,20,10,33,11.6785,1
5,20,20,40,8.20765,1
1,20,1,26,15.2435,5
1,20,20,26,15.3697,2
1,20,1,33,12.2181,4
1,20,40,33,11.4148,1
1,20,10,26,14.6082,3
1,20,1,40,9.23789,5
1,20,40,26,15.1913,1
1,20,20,33,11.5586,3
1,20,10,40,8.70016,2
1,20,10,33,11.4413,2
1,20,40,40,8.6875,1
1,20,20,40,7.23876,2
6,20,1,26,15.735,5
6,20,20,33,11.8607,2
6,20,10,40,9.09945,2
6,20,5,33,12.0523,3
6,20,10,26,15.26,2
6,20,20,40,9.723,1
6,20,1,40,9.27081,4
6,20,5,40,8.96998,2
6,20,5,26,15.5127,2
6,20,10,33,11.6755,3
6,20,1,33,11.9773,4
6,20,20,26,14.7857,1
7,20,1,26,15.7236,5
7,20,5,33,12.1195,4
7,20,10,26,14.8059,3
7,20,20,26,14.7208,2
7,20,5,26,14.3838,4
7,20,1,40,9.47347,3
7,20,20,33,11.1974,2
7,20,1,33,12.0755,4
7,20,10,33,12.0503,3
7,20,20,40,9.24571,2
7,20,5,40,9.85438,3
7,20,10,40,8.23871,3
12,20,1,26,15.2014,4
12,20,10,26,15.2883,3.5
12,20,1,40,9.02857,5
12,20,20,26,15.3416,2.5
12,20,20,33,11.1523,2
12,20,10,40,9.0781,4
12,20,5,40,9.54291,5
12,20,5,33,11.8889,4
12,20,1,33,12.3324,5
12,20,10,33,12.3332,4
12,20,5,26,15.2621,3
12,20,20,40,8.03149,1
9,20,1,26,15.0187,5
9,20,20,33,11.7718,3
9,20,5,40,9.72389,2
9,20,1,33,12.2585,4
9,20,10,40,9.51133,2
9,20,20,40,9.32837,1
9,20,10,26,14.8116,4
9,20,5,26,15.0009,4
9,20,20,26,14.8474,2.5
9,20,10,33,11.7937,2
9,20,1,40,8.54842,3
9,20,5,33,12.0888,3
8,20,1,26,15.7831,5
8,20,10,26,15.5466,2
8,20,40,33,11.7005,1
8,20,1,40,9.3588,3
8,20,20,33,11.7989,1
8,20,40,40,8.27168,1
8,20,40,26,15.0734,1
8,20,20,26,15.1351,2
8,20,10,40,7.73111,3
8,20,20,40,8.18879,2
8,20,10,33,11.1901,4
8,20,1,33,12.2638,4
10,20,1,26,15.2855,5
10,20,10,26,15.6213,5
10,20,5,33,11.6556,4
10,20,5,40,8.62227,3
10,20,1,33,11.5893,5
10,20,10,33,12.1426,3
10,20,20,26,15.3441,1
10,20,20,33,11.1832,2
10,20,20,40,8.12367,1
10,20,10,40,8.12877,2
10,20,5,26,14.9917,4
10,20,1,40,9.21416,5
11,20,1,26,15.8067,5
11,20,10,26,15.2421,2
11,20,5,33,11.7642,2
11,20,20,33,11.1703,1
11,20,5,26,15.261,1
11,20,20,40,8.81399,1
11,20,5,40,8.52774,1
11,20,1,40,8.79136,4
11,20,10,33,11.5165,1
11,20,10,40,8.79354,1
11,20,1,33,11.4752,4
11,20,20,26,15.5928,1
13,20,1,26,15.9309,5
13,20,10,40,8.34245,1
13,20,5,26,15.6417,3
13,20,5,40,8.93033,3
13,20,20,26,14.8231,1
13,20,20,33,11.3271,1
13,20,20,40,8.67954,3
13,20,5,33,11.9451,2
13,20,10,26,14.8859,5
13,20,1,33,12.3902,4
13,20,1,40,8.96229,2
13,20,10,33,11.7446,2
14,20,1,26,15.2194,5
14,20,10,40,10.8431,2
14,20,10,33,12.5581,2
14,20,10,26,16.0844,3
14,20,5,26,15.9272,2
14,20,20,26,17.0127,1
14,20,1,40,11.5047,2
14,20,5,33,14.4967,3
14,20,5,40,11.2749,2
14,20,20,33,13.9427,1
14,20,20,40,10.5074,1
14,20,1,33,14.1389,3
15,20,1,26,15.142,5
15,20,20,40,8.76753,2
15,20,20,26,15.7703,2
15,20,5,26,15.1516,3
15,20,10,26,15.2575,3
15,20,1,40,9.07131,4
15,20,10,33,11.6769,2
15,20,1,33,12.2595,4
15,20,20,33,11.2426,2
15,20,5,33,11.726,3
15,20,10,40,9.61106,3
15,20,5,40,9.14093,4
16,20,1,26,15.1989,5
16,20,5,33,12.0046,5
16,20,20,40,7.94947,4
